"Период","1","2-3","4-7"
"2021-05-13","2","4","1",""
"2021-05-14","7","2","2",""
"2021-05-15","2","4","1",""
"2021-05-16","5","3","0",""
"2021-05-17","3","0","1",""
"2021-05-18","5","0","0",""
"2021-05-19","5","0","0",""
"2021-05-20","3","4","2",""
"2021-05-21","4","1","0",""
"2021-05-22","4","2","0",""
"2021-05-23","6","2","0",""
"2021-05-24","2","2","1",""
"2021-05-25","1","3","2",""
"2021-05-26","3","4","2",""
"2021-05-27","6","1","1",""
"2021-05-28","4","7","1",""
"2021-05-29","3","1","0",""
"2021-05-30","0","0","1",""
"2021-05-31","1","0","0",""
"2021-06-01","4","6","0",""
"2021-06-02","3","2","2",""
"2021-06-03","3","1","2",""
"2021-06-04","4","2","1",""
"2021-06-05","8","3","0",""
"2021-06-06","4","1","0",""
"2021-06-07","6","2","1",""
"2021-06-08","1","3","4",""
"2021-06-09","5","5","2",""
"2021-06-10","7","2","4",""
"2021-06-11","3","2","0",""
"2021-06-12","3","5","0",""
"2021-06-13","2","0","0",""
"2021-06-14","6","1","0",""
"2021-06-15","2","1","1",""
"2021-06-16","3","4","1",""
"2021-06-17","4","4","5",""
"2021-06-18","9","9","5",""
"2021-06-19","6","4","0",""
"2021-06-20","4","5","0",""
"2021-06-21","15","6","4",""
"2021-06-22","15","10","3",""
"2021-06-23","10","7","1",""
"2021-06-24","8","5","6",""
"2021-06-25","11","6","1",""
"2021-06-26","9","3","3",""
"2021-06-27","7","7","1",""
"2021-06-28","17","10","4",""
"2021-06-29","13","2","4",""
"2021-06-30","13","5","1",""
"2021-07-01","15","6","6",""
"2021-07-02","13","6","3",""
"2021-07-03","6","3","1",""
"2021-07-04","6","8","1",""
"2021-07-05","12","6","4",""
"2021-07-06","98","61","47",""
"2021-07-07","47","25","14",""
"2021-07-08","29","11","6",""
"2021-07-09","34","17","5",""
"2021-07-10","13","5","2",""
"2021-07-11","16","5","3",""
"2021-07-12","25","12","6",""
"2021-07-13","40","10","4",""
"2021-07-14","18","5","5",""
"2021-07-15","17","14","4",""
"2021-07-16","18","15","12",""
"2021-07-17","7","9","5",""
"2021-07-18","21","6","0",""
"2021-07-19","28","15","9",""
"2021-07-20","16","7","7",""
"2021-07-21","21","17","7",""
"2021-07-22","27","12","9",""
"2021-07-23","17","10","6",""
"2021-07-24","18","7","3",""
"2021-07-25","11","11","0",""
"2021-07-26","16","5","4",""
"2021-07-27","33","8","5",""
"2021-07-28","27","9","3",""
"2021-07-29","18","9","6",""
"2021-07-30","20","10","2",""
"2021-07-31","15","6","2",""
"2021-08-01","13","7","3",""
"2021-08-02","28","12","5",""
"2021-08-03","24","9","4",""
"2021-08-04","16","10","3",""
"2021-08-05","21","7","4",""
"2021-08-06","19","7","9",""
"2021-08-07","11","4","3",""
"2021-08-08","20","6","7",""
"2021-08-09","34","10","6",""
"2021-08-10","27","13","6",""
"2021-08-11","19","9","2",""
"2021-08-12","9","5","4",""
"2021-08-13","15","6","5",""
"2021-08-14","7","5","1",""
"2021-08-15","3","1","1",""
"2021-08-16","12","8","3",""
"2021-08-17","13","3","2",""
"2021-08-18","9","7","1",""
"2021-08-19","6","4","0",""
"2021-08-20","4","1","3",""
"2021-08-21","2","2","0",""
"2021-08-22","8","0","1",""
"2021-08-23","7","3","2",""
"2021-08-24","17","1","3",""
"2021-08-25","6","7","4",""
"2021-08-26","8","6","1",""
"2021-08-27","8","2","5",""
"2021-08-28","7","1","1",""
"2021-08-29","8","6","2",""
"2021-08-30","18","6","2",""
"2021-08-31","15","7","5",""
"2021-09-01","5","0","2",""
"2021-09-02","13","5","1",""
"2021-09-03","10","1","3",""
"2021-09-04","6","3","2",""
"2021-09-05","9","4","0",""
"2021-09-06","16","6","0",""
"2021-09-07","7","2","0",""
"2021-09-08","4","2","2",""
"2021-09-09","11","2","3",""
"2021-09-10","15","3","0",""
"2021-09-11","5","2","1",""
"2021-09-12","18","3","1",""
"2021-09-13","24","4","4",""
"2021-09-14","24","15","3",""
"2021-09-15","18","13","6",""
"2021-09-16","26","10","4",""
"2021-09-17","21","7","2",""
"2021-09-18","19","11","2",""
"2021-09-19","19","5","0",""
"2021-09-20","31","8","5",""
"2021-09-21","20","14","2",""
"2021-09-22","16","7","2",""
"2021-09-23","16","11","3",""
"2021-09-24","24","6","4",""
"2021-09-25","13","7","2",""
"2021-09-26","19","5","1",""
"2021-09-27","12","14","7",""
"2021-09-28","24","15","8",""
"2021-09-29","18","11","5",""
"2021-09-30","21","9","5",""
"2021-10-01","10","10","2",""
"2021-10-02","10","4","2",""
"2021-10-03","5","1","3",""
"2021-10-04","21","6","2",""
"2021-10-05","8","3","4",""
"2021-10-06","15","9","2",""
"2021-10-07","16","3","0",""
"2021-10-08","13","8","1",""
"2021-10-09","15","2","3",""
"2021-10-10","26","13","2",""
"2021-10-11","32","13","7",""
"2021-10-12","19","5","2",""
"2021-10-13","24","8","4",""
"2021-10-14","36","7","3",""
"2021-10-15","17","8","2",""
"2021-10-16","8","2","4",""
"2021-10-17","13","5","4",""
"2021-10-18","24","13","9",""
"2021-10-19","15","14","3",""
"2021-10-20","27","5","4",""
"2021-10-21","16","4","1",""
"2021-10-22","17","9","4",""
"2021-10-23","17","12","3",""
"2021-10-24","19","12","5",""
"2021-10-25","30","14","9",""
"2021-10-26","23","7","3",""
"2021-10-27","18","8","6",""
"2021-10-28","23","12","5",""
"2021-10-29","28","7","7",""
"2021-10-30","16","11","4",""
"2021-10-31","23","8","2",""
"2021-11-01","33","6","5",""
"2021-11-02","23","6","1",""
"2021-11-03","31","14","3",""
"2021-11-04","15","3","5",""
"2021-11-05","9","3","1",""
"2021-11-06","9","8","3",""
"2021-11-07","24","7","2",""
"2021-11-08","35","7","3",""
"2021-11-09","19","5","3",""
"2021-11-10","28","10","2",""
"2021-11-11","25","9","2",""
"2021-11-12","15","5","5",""
"2021-11-13","9","2","1",""
"2021-11-14","27","3","3",""
"2021-11-15","22","5","5",""
"2021-11-16","11","5","6",""
"2021-11-17","14","9","5",""
"2021-11-18","17","11","1",""
"2021-11-19","19","4","1",""
"2021-11-20","6","2","4",""
"2021-11-21","32","2","5",""
"2021-11-22","30","7","3",""
"2021-11-23","13","2","2",""
"2021-11-24","21","6","3",""
"2021-11-25","21","3","3",""
"2021-11-26","18","8","2",""
"2021-11-27","15","2","1",""
"2021-11-28","19","6","7",""
"2021-11-29","16","14","5",""
"2021-11-30","26","7","4",""
"2021-12-01","18","7","1",""
"2021-12-02","22","6","4",""
"2021-12-03","22","11","2",""
"2021-12-04","19","5","3",""
"2021-12-05","22","9","3",""
"2021-12-06","24","7","1",""
"2021-12-07","15","10","3",""
"2021-12-08","14","7","1",""
"2021-12-09","19","5","2",""
"2021-12-10","10","5","1",""
"2021-12-11","11","9","5",""
"2021-12-12","11","4","2",""
"2021-12-13","19","5","5",""
"2021-12-14","23","3","0",""
"2021-12-15","11","8","2",""
"2021-12-16","15","6","2",""
"2021-12-17","8","3","1",""
"2021-12-18","11","3","1",""
"2021-12-19","18","1","3",""
"2021-12-20","17","7","3",""
"2021-12-21","14","6","1",""
"2021-12-22","17","7","2",""
"2021-12-23","13","9","5",""
"2021-12-24","19","3","1",""
"2021-12-25","11","5","0",""
"2021-12-26","12","3","3",""
"2021-12-27","22","6","2",""
"2021-12-28","14","8","2",""
"2021-12-29","16","5","1",""
"2021-12-30","5","2","1",""
"2021-12-31","9","2","1",""
"2022-01-01","11","4","0",""
"2022-01-02","20","6","1",""
"2022-01-03","14","7","5",""
"2022-01-04","13","5","3",""
"2022-01-05","14","4","3",""
"2022-01-06","15","3","0",""
"2022-01-07","11","5","0",""
"2022-01-08","15","5","1",""
"2022-01-09","21","7","2",""
"2022-01-10","18","9","4",""
"2022-01-11","18","12","1",""
"2022-01-12","15","7","1",""
"2022-01-13","12","4","2",""
"2022-01-14","16","11","2",""
"2022-01-15","22","4","1",""
"2022-01-16","19","5","1",""
"2022-01-17","21","8","0",""
"2022-01-18","22","4","4",""
"2022-01-19","14","6","3",""
"2022-01-20","28","4","3",""
"2022-01-21","30","4","2",""
"2022-01-22","24","7","1",""
"2022-01-23","22","4","1",""
"2022-01-24","29","6","4",""
"2022-01-25","26","7","2",""
"2022-01-26","30","7","3",""
"2022-01-27","11","13","2",""
"2022-01-28","11","3","4",""
"2022-01-29","5","2","1",""
"2022-01-30","9","3","2",""
"2022-01-31","13","8","2",""
"2022-02-01","9","2","2",""
"2022-02-02","20","5","0",""
"2022-02-03","16","3","0",""
"2022-02-04","11","3","1",""
"2022-02-05","6","2","1",""
"2022-02-06","7","1","1",""
"2022-02-07","18","2","4",""
"2022-02-08","16","3","1",""
"2022-02-09","12","3","1",""
"2022-02-10","10","1","0",""
"2022-02-11","4","1","3",""
"2022-02-12","4","0","0",""
"2022-02-13","11","6","1",""
"2022-02-14","15","1","1",""
"2022-02-15","9","3","1",""
"2022-02-16","7","3","2",""
"2022-02-17","4","1","2",""
"2022-02-18","11","3","1",""
"2022-02-19","3","3","1",""
"2022-02-20","4","2","1",""
"2022-02-21","9","4","1",""
"2022-02-22","13","3","1",""
"2022-02-23","3","0","1",""
"2022-02-24","7","2","0",""
"2022-02-25","7","3","1",""
"2022-02-26","2","1","2",""
"2022-02-27","3","3","2",""
"2022-02-28","7","3","1",""
"2022-03-01","10","2","1",""
"2022-03-02","7","3","1",""
"2022-03-03","7","1","1",""
"2022-03-04","10","3","1",""
"2022-03-05","11","2","0",""
"2022-03-06","3","1","0",""
"2022-03-07","4","3","0",""
"2022-03-08","3","1","1",""
"2022-03-09","10","0","1",""
"2022-03-10","8","3","0",""
"2022-03-11","3","1","1",""
"2022-03-12","4","3","0",""
"2022-03-13","4","4","0",""
"2022-03-14","6","3","1",""
"2022-03-15","6","3","2",""
"2022-03-16","4","1","4",""
"2022-03-17","3","1","0",""
"2022-03-18","6","3","0",""
"2022-03-19","4","0","1",""
"2022-03-20","5","4","0",""
"2022-03-21","8","5","5",""
"2022-03-22","10","6","1",""
"2022-03-23","6","3","1",""
"2022-03-24","6","1","2",""
"2022-03-25","8","5","1",""
"2022-03-26","5","1","2",""
"2022-03-27","6","1","4",""
"2022-03-28","14","1","3",""
"2022-03-29","11","7","4",""
"2022-03-30","15","5","1",""
"2022-03-31","7","3","1",""
"2022-04-01","9","1","1",""
"2022-04-02","2","1","1",""
"2022-04-03","2","2","2",""
"2022-04-04","9","5","0",""
"2022-04-05","9","1","6",""
"2022-04-06","6","6","1",""
"2022-04-07","9","1","3",""
"2022-04-08","12","5","0",""
"2022-04-09","9","2","0",""
"2022-04-10","9","4","0",""
"2022-04-11","15","3","2",""
"2022-04-12","10","7","1",""
"2022-04-13","13","2","3",""
"2022-04-14","14","6","2",""
"2022-04-15","7","5","5",""
"2022-04-16","9","4","3",""
"2022-04-17","8","1","1",""
"2022-04-18","12","5","2",""
"2022-04-19","11","5","2",""
"2022-04-20","11","2","3",""
"2022-04-21","7","6","1",""
"2022-04-22","12","1","2",""
"2022-04-23","4","1","2",""
"2022-04-24","5","3","1",""
"2022-04-25","16","8","4",""
"2022-04-26","14","13","2",""
"2022-04-27","15","48","2",""
"2022-04-28","19","58","0",""
"2022-04-29","22","60","6",""
"2022-04-30","16","44","1",""
"2022-05-01","16","56","3",""
"2022-05-02","14","58","1",""
"2022-05-03","15","51","4",""
"2022-05-04","17","55","2",""
"2022-05-05","20","45","3",""
"2022-05-06","15","59","0",""
"2022-05-07","4","56","2",""
"2022-05-08","12","46","1",""
"2022-05-09","13","55","2",""
"2022-05-10","22","40","2",""
"2022-05-11","20","45","5",""
"2022-05-12","12","49","1",""
"2022-05-13","14","45","2",""
"2022-05-14","12","66","2",""
"2022-05-15","12","38","3",""
"2022-05-16","20","50","2",""
"2022-05-17","24","52","3",""
"2022-05-18","16","36","4",""
"2022-05-19","13","25","2",""
"2022-05-20","23","28","3",""
"2022-05-21","11","33","5",""
"2022-05-22","15","26","7",""
"2022-05-23","15","20","3",""
"2022-05-24","22","30","1",""
"2022-05-25","18","18","0",""
"2022-05-26","21","25","2",""
"2022-05-27","18","15","2",""
"2022-05-28","10","30","0",""
"2022-05-29","11","21","0",""
"2022-05-30","16","23","1",""
"2022-05-31","18","38","2",""
"2022-06-01","24","34","3",""
"2022-06-02","15","23","1",""
"2022-06-03","14","22","0",""
"2022-06-04","11","26","0",""
"2022-06-05","10","20","2",""
"2022-06-06","15","19","1",""
"2022-06-07","19","17","3",""
"2022-06-08","16","22","0",""
"2022-06-09","11","19","0",""
"2022-06-10","11","20","3",""
"2022-06-11","12","13","1",""
"2022-06-12","15","15","0",""
"2022-06-13","16","26","1",""
"2022-06-14","20","22","2",""
"2022-06-15","31","27","2",""
"2022-06-16","14","21","2",""
"2022-06-17","20","25","1",""
"2022-06-18","9","18","1",""
"2022-06-19","13","19","6",""
"2022-06-20","21","25","4",""
"2022-06-21","12","14","3",""
"2022-06-22","16","16","3",""
"2022-06-23","6","7","0",""
"2022-06-24","13","6","0",""
"2022-06-25","5","0","2",""
"2022-06-26","4","4","3",""
"2022-06-27","10","4","3",""
"2022-06-28","15","1","0",""
"2022-06-29","8","2","0",""
"2022-06-30","8","4","0",""
"2022-07-01","8","4","2",""
"2022-07-02","6","4","1",""
"2022-07-03","6","1","0",""
"2022-07-04","7","3","1",""
"2022-07-05","7","3","2",""
"2022-07-06","8","1","1",""
"2022-07-07","7","3","2",""
"2022-07-08","3","2","3",""
"2022-07-09","3","3","0",""
"2022-07-10","3","3","0",""
"2022-07-11","9","5","0",""
"2022-07-12","7","0","1",""
"2022-07-13","9","1","1",""
"2022-07-14","15","1","2",""
"2022-07-15","6","4","5",""
"2022-07-16","3","2","1",""
"2022-07-17","7","4","3",""
"2022-07-18","9","3","1",""
"2022-07-19","13","2","5",""
"2022-07-20","14","5","1",""
"2022-07-21","10","3","1",""
"2022-07-22","10","7","2",""
"2022-07-23","9","5","0",""
"2022-07-24","15","2","1",""
"2022-07-25","24","3","4",""
"2022-07-26","16","2","1",""
"2022-07-27","11","8","1",""
"2022-07-28","13","6","2",""
"2022-07-29","16","6","2",""
"2022-07-30","7","2","0",""
"2022-07-31","9","2","2",""
"2022-08-01","13","7","0",""
"2022-08-02","14","3","2",""
"2022-08-03","11","3","3",""
"2022-08-04","6","5","0",""
"2022-08-05","8","4","2",""
"2022-08-06","10","2","3",""
"2022-08-07","9","2","0",""
"2022-08-08","17","5","1",""
"2022-08-09","18","9","3",""
"2022-08-10","10","5","2",""
"2022-08-11","14","2","2",""
"2022-08-12","13","0","3",""
"2022-08-13","11","3","0",""
"2022-08-14","3","3","1",""
"2022-08-15","16","3","2",""
"2022-08-16","10","1","5",""
"2022-08-17","27","8","2",""
"2022-08-18","32","7","2",""
"2022-08-19","18","12","1",""
"2022-08-20","11","1","0",""
"2022-08-21","14","5","1",""
"2022-08-22","29","9","2",""
"2022-08-23","21","5","2",""
"2022-08-24","20","6","1",""
"2022-08-25","19","6","3",""
"2022-08-26","26","5","2",""
"2022-08-27","25","4","1",""
"2022-08-28","11","1","0",""
"2022-08-29","28","10","3",""
"2022-08-30","17","11","3",""
"2022-08-31","22","7","3",""
"2022-09-01","22","5","2",""
"2022-09-02","23","9","7",""
"2022-09-03","27","2","2",""
"2022-09-04","29","6","1",""
"2022-09-05","22","9","2",""
"2022-09-06","19","11","2",""
"2022-09-07","26","6","2",""
"2022-09-08","29","5","1",""
"2022-09-09","32","9","2",""
"2022-09-10","20","7","1",""
"2022-09-11","26","7","0",""
"2022-09-12","36","9","3",""
"2022-09-13","21","9","1",""
"2022-09-14","20","7","6",""
"2022-09-15","27","8","3",""
"2022-09-16","38","1","1",""
"2022-09-17","51","4","2",""
"2022-09-18","14","2","2",""
"2022-09-19","31","9","6",""
"2022-09-20","27","2","4",""
"2022-09-21","19","3","2",""
"2022-09-22","20","6","0",""
"2022-09-23","32","3","5",""
"2022-09-24","18","4","1",""
"2022-09-25","5","1","0",""
"2022-09-26","28","5","2",""
"2022-09-27","32","3","1",""
"2022-09-28","14","4","1",""
"2022-09-29","17","2","0",""
"2022-09-30","17","2","1",""
"2022-10-01","67","3","0",""
"2022-10-02","5","5","0",""
"2022-10-03","65","7","2",""
"2022-10-04","87","6","5",""
"2022-10-05","61","5","2",""
"2022-10-06","54","1","1",""
"2022-10-07","66","3","1",""
"2022-10-08","104","6","3",""
"2022-10-09","61","5","0",""
"2022-10-10","89","6","2",""
"2022-10-11","70","11","3",""
"2022-10-12","66","8","1",""
"2022-10-13","70","9","3",""
"2022-10-14","69","18","2",""
"2022-10-15","148","8","2",""
"2022-10-16","114","1","3",""
"2022-10-17","77","11","4",""
"2022-10-18","68","11","7",""
"2022-10-19","58","7","4",""
"2022-10-20","53","10","6",""
"2022-10-21","98","7","1",""
"2022-10-22","76","7","2",""
"2022-10-23","45","1","1",""
"2022-10-24","15","2","1",""
"2022-10-25","13","2","1",""
"2022-10-26","11","5","1",""
"2022-10-27","9","2","1",""
"2022-10-28","5","2","1",""
"2022-10-29","10","0","0",""
"2022-10-30","7","0","2",""
"2022-10-31","10","2","1",""
"2022-11-01","9","3","1",""
"2022-11-02","9","5","0",""
"2022-11-03","12","3","2",""
"2022-11-04","7","5","1",""
"2022-11-05","8","2","1",""
"2022-11-06","8","4","1",""
"2022-11-07","9","5","0",""
"2022-11-08","10","4","3",""
"2022-11-09","8","2","1",""
"2022-11-10","11","2","2",""
"2022-11-11","9","0","0",""
"2022-11-12","8","5","0",""
"2022-11-13","1","3","1",""
"2022-11-14","14","7","1",""
"2022-11-15","4","5","0",""
"2022-11-16","9","2","1",""
"2022-11-17","7","2","1",""
"2022-11-18","9","3","1",""
"2022-11-19","7","3","0",""
"2022-11-20","11","1","1",""
"2022-11-21","6","1","0",""
"2022-11-22","9","2","0",""
"2022-11-23","8","7","1",""
"2022-11-24","4","5","1",""
"2022-11-25","7","3","2",""
"2022-11-26","6","1","2",""
"2022-11-27","3","3","1",""
"2022-11-28","10","3","1",""
"2022-11-29","8","5","2",""
"2022-11-30","7","2","2",""
"2022-12-01","9","2","1",""
"2022-12-02","9","1","1",""
"2022-12-03","5","4","0",""
"2022-12-04","5","0","2",""
"2022-12-05","6","4","0",""
"2022-12-06","12","5","1",""
"2022-12-07","6","6","0",""
"2022-12-08","8","6","0",""
"2022-12-09","8","5","0",""
"2022-12-10","4","5","0",""
"2022-12-11","4","1","0",""
"2022-12-12","7","3","1",""
"2022-12-13","2","2","1",""
"2022-12-14","13","0","2",""
"2022-12-15","6","3","1",""
"2022-12-16","6","1","1",""
"2022-12-17","6","3","2",""
"2022-12-18","9","0","0",""
"2022-12-19","11","1","0",""
"2022-12-20","7","2","0",""
"2022-12-21","5","1","0",""
"2022-12-22","5","4","2",""
"2022-12-23","6","1","2",""
"2022-12-24","10","0","2",""
"2022-12-25","0","3","2",""
"2022-12-26","8","3","3",""
"2022-12-27","7","0","0",""
"2022-12-28","7","6","1",""
"2022-12-29","7","0","0",""
"2022-12-30","7","0","0",""
"2022-12-31","1","1","0",""
"2023-01-01","1","1","0",""
"2023-01-02","7","2","1",""
"2023-01-03","13","3","1",""
"2023-01-04","4","1","1",""
"2023-01-05","7","4","3",""
"2023-01-06","3","3","3",""
"2023-01-07","7","2","1",""
"2023-01-08","6","3","1",""
"2023-01-09","10","2","2",""
"2023-01-10","5","5","0",""
"2023-01-11","9","4","0",""
"2023-01-12","4","1","2",""
"2023-01-13","7","1","1",""
"2023-01-14","4","2","0",""
"2023-01-15","6","1","1",""
"2023-01-16","10","0","1",""
"2023-01-17","6","2","0",""
"2023-01-18","6","4","0",""
"2023-01-19","13","5","2",""
"2023-01-20","9","3","0",""
"2023-01-21","5","4","1",""
"2023-01-22","6","1","0",""
"2023-01-23","11","1","0",""
"2023-01-24","13","3","0",""
"2023-01-25","9","3","1",""
"2023-01-26","13","7","3",""
"2023-01-27","8","3","3",""
"2023-01-28","9","1","1",""
"2023-01-29","6","2","0",""
"2023-01-30","10","2","1",""
"2023-01-31","14","2","1",""
"2023-02-01","12","2","1",""
"2023-02-02","9","5","1",""
"2023-02-03","9","0","3",""
"2023-02-04","6","0","0",""
"2023-02-05","4","2","1",""
"2023-02-06","10","4","1",""
"2023-02-07","11","4","4",""
"2023-02-08","7","4","3",""
"2023-02-09","11","3","2",""
"2023-02-10","4","5","1",""
"2023-02-11","10","4","0",""
"2023-02-12","6","3","0",""
"2023-02-13","12","1","0",""
"2023-02-14","10","1","1",""
"2023-02-15","4","4","2",""
"2023-02-16","7","2","0",""
"2023-02-17","7","2","3",""
"2023-02-18","8","2","0",""
"2023-02-19","7","3","0",""
"2023-02-20","7","2","3",""
"2023-02-21","6","4","4",""
"2023-02-22","9","4","3",""
"2023-02-23","9","1","2",""
"2023-02-24","12","2","0",""
"2023-02-25","9","2","0",""
"2023-02-26","8","4","1",""
"2023-02-27","9","6","1",""
"2023-02-28","12","2","0",""
"2023-03-01","16","4","1",""
"2023-03-02","12","7","4",""
"2023-03-03","8","7","0",""
"2023-03-04","6","2","1",""
"2023-03-05","10","3","0",""
"2023-03-06","11","5","2",""
"2023-03-07","9","2","3",""
"2023-03-08","5","2","0",""
"2023-03-09","18","3","1",""
"2023-03-10","33","6","4",""
"2023-03-11","79","10","3",""
"2023-03-12","92","4","3",""
"2023-03-13","75","7","4",""
"2023-03-14","45","5","2",""
"2023-03-15","42","7","2",""
"2023-03-16","49","5","2",""
"2023-03-17","35","9","1",""
"2023-03-18","22","3","1",""
"2023-03-19","17","3","0",""
"2023-03-20","17","7","1",""
"2023-03-21","12","4","5",""
"2023-03-22","11","3","4",""
"2023-03-23","19","9","1",""
"2023-03-24","17","3","2",""
"2023-03-25","18","4","3",""
"2023-03-26","10","4","3",""
"2023-03-27","19","7","0",""
"2023-03-28","12","5","4",""
"2023-03-29","14","5","2",""
"2023-03-30","20","2","1",""
"2023-03-31","25","4","3",""
"2023-04-01","19","7","1",""
"2023-04-02","22","6","4",""
"2023-04-03","25","11","4",""
"2023-04-04","32","4","0",""
"2023-04-05","24","2","2",""
"2023-04-06","30","10","4",""
"2023-04-07","27","6","3",""
"2023-04-08","24","6","2",""
"2023-04-09","15","3","3",""
"2023-04-10","22","7","4",""
"2023-04-11","23","11","2",""
"2023-04-12","23","5","8",""
"2023-04-13","24","5","2",""
"2023-04-14","22","2","2",""
"2023-04-15","21","5","0",""
"2023-04-16","16","6","3",""
"2023-04-17","30","9","4",""
"2023-04-18","25","8","0",""
"2023-04-19","32","9","4",""
"2023-04-20","22","5","5",""
"2023-04-21","27","9","5",""
"2023-04-22","19","7","5",""
"2023-04-23","27","8","2",""
"2023-04-24","22","7","3",""
"2023-04-25","19","6","3",""
"2023-04-26","44","13","7",""
"2023-04-27","33","12","6",""
"2023-04-28","40","12","6",""
"2023-04-29","27","19","4",""
"2023-04-30","33","11","5",""
"2023-05-01","35","8","1",""
"2023-05-02","42","16","5",""
"2023-05-03","44","15","2",""
"2023-05-04","49","11","6",""
"2023-05-05","26","15","6",""
"2023-05-06","35","13","7",""
"2023-05-07","24","10","7",""
"2023-05-08","29","5","11",""
"2023-05-09","22","8","1",""
"2023-05-10","39","10","4",""
"2023-05-11","25","9","3",""
"2023-05-12","34","12","3",""
"2023-05-13","23","7","4",""
"2023-05-14","22","6","3",""
"2023-05-15","40","16","4",""
"2023-05-16","34","17","2",""
"2023-05-17","27","11","0",""
"2023-05-18","28","8","2",""
"2023-05-19","32","10","6",""
"2023-05-20","19","9","4",""
"2023-05-21","29","11","4",""
"2023-05-22","32","15","2",""
"2023-05-23","41","19","0",""
